Translation,Word,Other
and,وَ,بعد
in,فِي,
on,عَلَى,فوق 
from,مِنْ,
to,إِلَى,
about,عَنْ,
with,مَعَ,
what,مَا,
this,هَذَا,ذا
that,ذاك,
how,كَيْفَ,
why,لَيْش," ليه, وراه, شحقه"
when,مِتى ,
where,وين,
yes,نَعَمْ,ايه
no,لا,
I,أَنَا,
you,انتْ,انتْ
he,هُوَ,
she,هِيَ,
we,حنا,
they,هُمْ,
there,هْناك,
here,هُنَا,هِنا
but,لَكِنْ,بس
if,إِذَا,لو
because,لِأَنَّ," عشان, بسبب"
after,بَعْدَ,عقب
before,قَبْلَ,
today,اليَوْمَ,
tomorrow,بُكْرَةَ,باكر 
yesterday,أَمْسَ,البارحة
morning,صَبَاحَ,",صبح, ضحى,ضحية "
evening,الظهر ,
night,ليل,
time,وَقْتَ,
hour,سَاعَةَ,
minute,دَقِيقَةَ,
second,ثَانِيَةَ,
one,واحِد,
two,اثْنَيْن,
three,ثَلاثَةَ,
four,أَرْبَعَةَ,
five,خَمْسَةَ,
six,سِتَّةَ,
seven,سَبْعَةَ,
eight,ثَمَانِيَةَ,
nine,تِسْعَةَ,
ten,عَشْرَةَ,
many,كَثِير,واجد
few,قَلِيل,شوي
all,كُلُّ,"كِل,كلهم"
some,بَعْض,
more,أَكْثَر,
less,أَقَل,
good,زين,
nice,زين,"حلو,طيّب"
bad,شين,
love,حُبّ,
hatred,كُرْه,بغض
work,عَمَل,شغل 
job,شُغْل,
house,بَيْت,
car,سَيَّارَة,
street,شَارِع,
restaurant,مَطْعَم,
market,سُوق,
bank,بَنْك,
loan,دية,سلف
money,فُلُوس,
riyal,رِيَال,
food,أَكْل,
drink,شُرْب,
rain,مَطَر,
sun,شَمْس,
moon,قَمَر,
sea,بَحْر,
mountain,جَبَل,
valley,وَادِي,
desert,بر,
city,مَدِينَة,
village,قَرْيَة,
school,مَدْرَسَة,
university,جَامِعَة,
student,طَالِب,
teacher,استاذ,
book,كِتَاب,
pen,قلم حبر,
paper,وَرَقَة,
office,مَكْتَب,
company,شَرِكَة,
manager,مُدِير,
employee,مُوَظَّف,
project/task,مَشْرُوع,
sale,بَيْع,
purchase,شِرَاء,
price,سِعْر,
discount,تَخْفِيض,
marketing,تَسْوِيق,
investment,اِسْتِثْمَار,
profit,رِبْح,
loss,خَسَارَة,
contract,عَقْد,
partnership,شَرَاكَة,
employees,مُوَظَّفِينَ,
management,إِدَارَة,
production,إِنْتَاج,
distribution,تَوْزِيع,
service,خِدْمَة,
customer,زَبُون,
sales,مَبِيعَات,
brand,عَلَامَة تِجَارِيَّة,
digital,رَقْمِي,
training,تَدْرِيب,
meeting,اجْتِمَاع,
budget,مِيزَانِيَّة,
plan,خُطَّة,
education,تَعْلِيم,
course,دَوْرَة,
class,فَصْل,
lesson,دَرْس,
exam,اختبار ,
result,نَتِيجَة,
certificate,شَهَادَة,
subject,مَادَّة,
curriculum,مِنْهَج,
research,بَحْث,
library,مَكْتَبَة,
study,دِرَاسَة,
graduation,تَخَرُّج,
institute,مَعْهَد,
lecture,مُحَاضَرَة,
class/row,صَفّ,
attendance,حُضُور,
absence,غِيَاب,
appointment,مَوْعِد,
registration,تَسْجِيل,
account,حِسَاب,
bank,مَصْرِف,
interest,فَائِدَة,
withdrawal,سَحْب,
deposit,إِيدَاع,
transfer,تَحْوِيل,
card,بِطَاقَة,
balance,رَصِيد,
transaction,مُعَامَلَة,
bank,مصرف,بنك
financing,تَمْوِيل,
credit,ائْتِمَان,
debt,دَيْن,
guarantee,ضَمَان,
withdraw,صَرْف,
mortgage,رَهْن,
currency,عُمْلَة,
safety,أَمَان,
vehicle,مَرْكَبَة,
engine,مُحَرِّك,
wheel,عَجَلَة,
tire,إِطَار,
road,طَرِيق,
bridge,جِسْر,
fuel,وُقُود,
gasoline,بَنْزِين,
maintenance,صِيَانَة,
inspection,فَحْص,
insurance,تَأْمِين,
driving,قِيَادَة,
driver,سَائِق,
station,مَحَطَّة,
garage,مَرْآب,
acceleration,تَسَارُع,
brakes,فَرَامِل,
transmission,نَاقِل,
design,تَصْمِيم,
uh-huh,أَهَا,
for example / like,يَعْنِي,مثلا
Enough,خَلَاص,بس
let's go,يَلَّا,
here,هِنا,
ready,جاهز,
excuse me,عَفْوًا,معليش
thank you,شُكْرًا,
goodbye,مَعَ السَّلَامَة,
good morning,صبحك الله بالخير,
good evening,مساك الله بالخير,
how are you?,كيفك,"شلونك, شخبارك, شعلومك"
fine,بِخَيْر,
okay/alright,تَمَام,
God willing,إِنْ شَاءَ اللَّه,
God be with you,اللَّه مَعَكَ,
repayment,سَدَاد,
installment / a payment,دَفْعَة,
profits/interest,فَوَائِد,
agreement,موافق ,
commitment,الِالْتِزَام,
honestly,صَراحة,
I swear to god,وَاللَّه,
pencil,قلم رصاص ,
must/necessary,لازِم,
grade,درجة,
okay,ابشر ,